Region           Strand              Start               End

P1plus             positivo           0           75
P2plus             positivo           774           849
P3plus             positivo           1795           1870
P4plus             positivo           3975           4050
P5plus             positivo           6719           6794
P6plus             positivo           9182           9257
P7plus             positivo           9624           9699
P8plus             positivo           12225           12300
P9plus             positivo           13795           13870
P10plus             positivo           14769           14844
P11plus             positivo           18558           18633
P12plus             positivo           18917           18992
P13plus             positivo           19657           19732
P14plus             positivo           20583           20658
P15plus             positivo           22588           22663
P16plus             positivo           22862           22937
P17plus             positivo           23187           23262
P18plus             positivo           23466           23541
P19plus             positivo           26622           26697
P20plus             positivo           28940           29015
P21plus             positivo           29141           29216
P22plus             positivo           29411           29486
P23plus             positivo           30373           30448
P24plus             positivo           31795           31870
P25plus             positivo           32035           32110
P26plus             positivo           32136           32211
P27plus             positivo           32213           32288
P28plus             positivo           33771           33846
P29plus             positivo           36802           36877
P30plus             positivo           37668           37743
P31plus             positivo           38095           38170
P32plus             positivo           39816           39891
P33plus             positivo           41157           41232
P34plus             positivo           45014           45089
P35plus             positivo           45259           45334
P36plus             positivo           46392           46467
P37plus             positivo           47346           47421
P38plus             positivo           49517           49592
P39plus             positivo           50940           51015
P40plus             positivo           55002           55077
P41plus             positivo           55645           55720
P42plus             positivo           56270           56345
P43plus             positivo           59881           59956
P44plus             positivo           61344           61419
P45plus             positivo           64331           64406
P46plus             positivo           65103           65178
P47plus             positivo           65245           65320
P48plus             positivo           65346           65421
P49plus             positivo           67795           67870
P50plus             positivo           67942           68017
P51plus             positivo           69183           69258
P52plus             positivo           73729           73804
P53plus             positivo           76702           76777
P54plus             positivo           76789           76864
P55plus             positivo           77155           77230
P56plus             positivo           79519           79594
P57plus             positivo           80462           80537
P58plus             positivo           82501           82576
P59plus             positivo           90146           90221
P60plus             positivo           90733           90808
P61plus             positivo           100674           100749
P62plus             positivo           102419           102494
P63plus             positivo           110635           110710
P64plus             positivo           111727           111802
P65plus             positivo           112228           112303
P66plus             positivo           112736           112811
P67plus             positivo           112838           112913
P68plus             positivo           114804           114879
P69plus             positivo           115892           115967
P70plus             positivo           118746           118821
P71plus             positivo           124157           124232
P72plus             positivo           126899           126974
P73plus             positivo           131973           132048
P74plus             positivo           132402           132477
P75plus             positivo           135743           135818
P76plus             positivo           136532           136607
P77plus             positivo           136707           136782
P78plus             positivo           139975           140050
P79plus             positivo           140533           140608
P80plus             positivo           140835           140910
P81plus             positivo           141789           141864
P82plus             positivo           150636           150711
P83plus             positivo           151273           151348
P84plus             positivo           152890           152965
P85plus             positivo           153239           153314
P86plus             positivo           154443           154518
P87plus             positivo           154629           154704
P88plus             positivo           155923           155998
P89plus             positivo           158944           159019
P90plus             positivo           160821           160896
P91plus             positivo           163013           163088
P92plus             positivo           163212           163287
P93plus             positivo           164392           164467
P94plus             positivo           167829           167904
P95plus             positivo           168611           168686
P96plus             positivo           171188           171263
P97plus             positivo           176405           176480
P98plus             positivo           176672           176747
P99plus             positivo           178031           178106
P100plus             positivo           178375           178450
P101plus             positivo           178722           178797
P102plus             positivo           180804           180879
P103plus             positivo           181451           181526
P104plus             positivo           184766           184841
P105plus             positivo           195187           195262
P106plus             positivo           196857           196932
P107plus             positivo           197609           197684
P108plus             positivo           197745           197820
P109plus             positivo           202059           202134
P110plus             positivo           202334           202409
P111plus             positivo           204341           204416
P112plus             positivo           204670           204745
P113plus             positivo           207167           207242
P114plus             positivo           207347           207422
P115plus             positivo           207422           207497
P116plus             positivo           208655           208730
P117plus             positivo           210846           210921
P118plus             positivo           212192           212267
P119plus             positivo           214437           214512
P120plus             positivo           222526           222601
P121plus             positivo           227769           227844
P122plus             positivo           235389           235464
P123plus             positivo           236228           236303
P124plus             positivo           237629           237704
P125plus             positivo           239915           239990
P126plus             positivo           240075           240150
P127plus             positivo           240159           240234
P128plus             positivo           240823           240898
P129plus             positivo           242478           242553
P130plus             positivo           243099           243174
P131plus             positivo           243390           243465
P132plus             positivo           248619           248694
P133plus             positivo           249480           249555
P134plus             positivo           249755           249830
P135plus             positivo           250270           250345
P136plus             positivo           250480           250555
P137plus             positivo           252052           252127
P138plus             positivo           254728           254803
P139plus             positivo           262057           262132
P140plus             positivo           266273           266348
P141plus             positivo           266482           266557
P142plus             positivo           266836           266911
P143plus             positivo           269885           269960
P144plus             positivo           271941           272016
P145plus             positivo           274270           274345
P146plus             positivo           275082           275157
P147plus             positivo           276223           276298
P148plus             positivo           276703           276778
P149plus             positivo           278128           278203
P150plus             positivo           279716           279791
P151plus             positivo           283957           284032
P152plus             positivo           286583           286658
P153plus             positivo           286851           286926
P154plus             positivo           287324           287399
P155plus             positivo           288002           288077
P156plus             positivo           288201           288276
P157plus             positivo           288277           288352
P158plus             positivo           288480           288555
P159plus             positivo           290204           290279
P160plus             positivo           293134           293209
P161plus             positivo           295993           296068
P162plus             positivo           299354           299429
P163plus             positivo           301327           301402
P164plus             positivo           301788           301863
P165plus             positivo           305226           305301
P166plus             positivo           306616           306691
P167plus             positivo           306691           306766
P168plus             positivo           307027           307102
P169plus             positivo           307222           307297
P170plus             positivo           308373           308448
P171plus             positivo           311129           311204
P172plus             positivo           311212           311287
P173plus             positivo           314507           314582
P174plus             positivo           314750           314825
