Region           Strand              Start               End

P1plus             positivo           5560           5635
P2plus             positivo           15094           15169
P3plus             positivo           15908           15983
P4plus             positivo           17240           17315
P5plus             positivo           17700           17775
P6plus             positivo           21260           21335
P7plus             positivo           28768           28843
P8plus             positivo           36591           36666
P9plus             positivo           38564           38639
P10plus             positivo           38751           38826
P11plus             positivo           47368           47443
P12plus             positivo           49196           49271
P13plus             positivo           55097           55172
P14plus             positivo           55521           55596
P15plus             positivo           59617           59692
P16plus             positivo           59692           59767
P17plus             positivo           61038           61113
P18plus             positivo           75498           75573
P19plus             positivo           83731           83806
P20plus             positivo           99432           99507
P21plus             positivo           103936           104011
P22plus             positivo           108272           108347
P23plus             positivo           132298           132373
P24plus             positivo           138007           138082
P25plus             positivo           139947           140022
P26plus             positivo           148819           148894
P27plus             positivo           163181           163256
P28plus             positivo           164166           164241
P29plus             positivo           164830           164905
P30plus             positivo           167479           167554
P31plus             positivo           168062           168137
P32plus             positivo           168642           168717
P33plus             positivo           168865           168940
P34plus             positivo           172690           172765
P35plus             positivo           177236           177311
P36plus             positivo           178260           178335
P37plus             positivo           180439           180514
P38plus             positivo           192315           192390
P39plus             positivo           201299           201374
P40plus             positivo           206046           206121
P41plus             positivo           212853           212928
P42plus             positivo           218463           218538
P43plus             positivo           221501           221576
P44plus             positivo           222104           222179
P45plus             positivo           226011           226086
P46plus             positivo           231759           231834
P47plus             positivo           241328           241403
P48plus             positivo           242200           242275
P49plus             positivo           249661           249736
P50plus             positivo           251002           251077
P51plus             positivo           278045           278120
P52plus             positivo           297026           297101
P53plus             positivo           298931           299006
P54plus             positivo           301817           301892
P55plus             positivo           305803           305878
P56plus             positivo           307969           308044
P57plus             positivo           311307           311382
P58plus             positivo           312062           312137
P59plus             positivo           316415           316490
P60plus             positivo           326769           326844
P61plus             positivo           328191           328266
P62plus             positivo           335574           335649
P63plus             positivo           346518           346593
P64plus             positivo           362942           363017
P65plus             positivo           368017           368092
P66plus             positivo           372795           372870
P67plus             positivo           378908           378983
P68plus             positivo           383924           383999
P69plus             positivo           387143           387218
P70plus             positivo           387966           388041
P71plus             positivo           392907           392982
P72plus             positivo           401332           401407
P73plus             positivo           403397           403472
P74plus             positivo           404286           404361
P75plus             positivo           405454           405529
P76plus             positivo           411455           411530
P77plus             positivo           417802           417877
P78plus             positivo           418245           418320
P79plus             positivo           421226           421301
P80plus             positivo           421598           421673
P81plus             positivo           425833           425908
P82plus             positivo           426609           426684
P83plus             positivo           429606           429681
P84plus             positivo           438131           438206
P85plus             positivo           439768           439843
P86plus             positivo           449025           449100
P87plus             positivo           453898           453973
P88plus             positivo           456295           456370
P89plus             positivo           460302           460377
P90plus             positivo           460547           460622
P91plus             positivo           463534           463609
P92plus             positivo           464144           464219
P93plus             positivo           466131           466206
P94plus             positivo           473546           473621
P95plus             positivo           481766           481841
P96plus             positivo           489467           489542
P97plus             positivo           490905           490980
P98plus             positivo           500309           500384
P99plus             positivo           501590           501665
P100plus             positivo           506467           506542
