Region           Strand              Start               End

P1plus             positivo           1111           1186
P2plus             positivo           1671           1746
P3plus             positivo           1794           1869
P4plus             positivo           2188           2263
P5plus             positivo           2437           2512
P6plus             positivo           3451           3526
P7plus             positivo           4511           4586
P8plus             positivo           5585           5660
P9plus             positivo           6665           6740
P10plus             positivo           7931           8006
P11plus             positivo           8480           8555
P12plus             positivo           10592           10667
P13plus             positivo           13138           13213
P14plus             positivo           18318           18393
P15plus             positivo           18855           18930
P16plus             positivo           18931           19006
P17plus             positivo           20624           20699
P18plus             positivo           21185           21260
P19plus             positivo           21273           21348
P20plus             positivo           22018           22093
P21plus             positivo           26705           26780
P22plus             positivo           28103           28178
P23plus             positivo           30219           30294
P24plus             positivo           31026           31101
P25plus             positivo           31282           31357
P26plus             positivo           32143           32218
P27plus             positivo           34010           34085
P28plus             positivo           35141           35216
P29plus             positivo           37045           37120
P30plus             positivo           38833           38908
P31plus             positivo           42295           42370
P32plus             positivo           43300           43375
P33plus             positivo           43375           43450
P34plus             positivo           44648           44723
P35plus             positivo           45076           45151
P36plus             positivo           49417           49492
P37plus             positivo           49903           49978
P38plus             positivo           52952           53027
P39plus             positivo           53413           53488
P40plus             positivo           57511           57586
P41plus             positivo           59198           59273
P42plus             positivo           59958           60033
P43plus             positivo           60033           60108
P44plus             positivo           61836           61911
P45plus             positivo           64621           64696
P46plus             positivo           64775           64850
P47plus             positivo           65713           65788
P48plus             positivo           70354           70429
P49plus             positivo           74721           74796
P50plus             positivo           79402           79477
P51plus             positivo           80133           80208
P52plus             positivo           80424           80499
P53plus             positivo           80646           80721
P54plus             positivo           81057           81132
P55plus             positivo           81146           81221
P56plus             positivo           87509           87584
P57plus             positivo           87584           87659
P58plus             positivo           87867           87942
P59plus             positivo           89146           89221
P60plus             positivo           89450           89525
P61plus             positivo           91248           91323
P62plus             positivo           93257           93332
P63plus             positivo           93352           93427
P64plus             positivo           95292           95367
P65plus             positivo           98501           98576
P66plus             positivo           99540           99615
P67plus             positivo           100192           100267
P68plus             positivo           104927           105002
P69plus             positivo           107193           107268
P70plus             positivo           107406           107481
P71plus             positivo           107579           107654
P72plus             positivo           109224           109299
P73plus             positivo           109498           109573
P74plus             positivo           110159           110234
P75plus             positivo           110259           110334
P76plus             positivo           111539           111614
P77plus             positivo           112802           112877
P78plus             positivo           114707           114782
P79plus             positivo           114839           114914
P80plus             positivo           117429           117504
P81plus             positivo           119460           119535
P82plus             positivo           120376           120451
P83plus             positivo           124619           124694
P84plus             positivo           124732           124807
P85plus             positivo           127696           127771
P86plus             positivo           132710           132785
P87plus             positivo           132786           132861
P88plus             positivo           133753           133828
P89plus             positivo           134416           134491
P90plus             positivo           137206           137281
P91plus             positivo           138398           138473
P92plus             positivo           139123           139198
P93plus             positivo           139262           139337
P94plus             positivo           139365           139440
P95plus             positivo           139939           140014
P96plus             positivo           142712           142787
P97plus             positivo           144443           144518
P98plus             positivo           145957           146032
P99plus             positivo           146441           146516
P100plus             positivo           148094           148169
P101plus             positivo           149023           149098
P102plus             positivo           150283           150358
P103plus             positivo           160651           160726
P104plus             positivo           160742           160817
P105plus             positivo           161150           161225
P106plus             positivo           161465           161540
P107plus             positivo           162259           162334
P108plus             positivo           162522           162597
P109plus             positivo           162597           162672
P110plus             positivo           162726           162801
P111plus             positivo           165939           166014
P112plus             positivo           169488           169563
P113plus             positivo           170037           170112
P114plus             positivo           170319           170394
P115plus             positivo           170784           170859
P116plus             positivo           170871           170946
P117plus             positivo           173493           173568
P118plus             positivo           178437           178512
P119plus             positivo           179838           179913
P120plus             positivo           181054           181129
P121plus             positivo           181612           181687
P122plus             positivo           183406           183481
P123plus             positivo           183845           183920
P124plus             positivo           185364           185439
P125plus             positivo           185567           185642
P126plus             positivo           188225           188300
P127plus             positivo           188533           188608
P128plus             positivo           189002           189077
P129plus             positivo           192057           192132
P130plus             positivo           192132           192207
P131plus             positivo           192760           192835
P132plus             positivo           194318           194393
P133plus             positivo           194986           195061
P134plus             positivo           195693           195768
P135plus             positivo           197037           197112
P136plus             positivo           197580           197655
P137plus             positivo           198126           198201
P138plus             positivo           202910           202985
P139plus             positivo           203245           203320
P140plus             positivo           205406           205481
P141plus             positivo           205766           205841
P142plus             positivo           208146           208221
P143plus             positivo           208485           208560
P144plus             positivo           209166           209241
P145plus             positivo           210243           210318
P146plus             positivo           215414           215489
P147plus             positivo           215973           216048
P148plus             positivo           216274           216349
P149plus             positivo           216360           216435
P150plus             positivo           216793           216868
P151plus             positivo           217702           217777
P152plus             positivo           217834           217909
P153plus             positivo           218096           218171
P154plus             positivo           218173           218248
P155plus             positivo           218248           218323
P156plus             positivo           220076           220151
P157plus             positivo           221172           221247
P158plus             positivo           221767           221842
P159plus             positivo           224162           224237
P160plus             positivo           231397           231472
P161plus             positivo           233652           233727
P162plus             positivo           233982           234057
P163plus             positivo           234706           234781
P164plus             positivo           235407           235482
P165plus             positivo           236870           236945
P166plus             positivo           237185           237260
P167plus             positivo           237260           237335
P168plus             positivo           237888           237963
P169plus             positivo           240073           240148
P170plus             positivo           241098           241173
P171plus             positivo           241607           241682
P172plus             positivo           242448           242523
P173plus             positivo           242641           242716
P174plus             positivo           244317           244392
P175plus             positivo           244542           244617
P176plus             positivo           245952           246027
P177plus             positivo           246033           246108
P178plus             positivo           248719           248794
P179plus             positivo           250689           250764
P180plus             positivo           251428           251503
P181plus             positivo           251641           251716
P182plus             positivo           251831           251906
P183plus             positivo           252309           252384
P184plus             positivo           253894           253969
P185plus             positivo           257345           257420
P186plus             positivo           258634           258709
P187plus             positivo           262273           262348
P188plus             positivo           263402           263477
P189plus             positivo           263759           263834
P190plus             positivo           263936           264011
P191plus             positivo           264011           264086
P192plus             positivo           264356           264431
P193plus             positivo           265398           265473
P194plus             positivo           265630           265705
P195plus             positivo           266928           267003
P196plus             positivo           268420           268495
P197plus             positivo           269011           269086
P198plus             positivo           269197           269272
P199plus             positivo           270293           270368
P200plus             positivo           271168           271243
P201plus             positivo           273479           273554
P202plus             positivo           274223           274298
P203plus             positivo           278050           278125
P204plus             positivo           279012           279087
P205plus             positivo           279111           279186
P206plus             positivo           279186           279261
P207plus             positivo           281384           281459
P208plus             positivo           283538           283613
P209plus             positivo           289498           289573
P210plus             positivo           290731           290806
P211plus             positivo           290923           290998
P212plus             positivo           291541           291616
P213plus             positivo           294401           294476
P214plus             positivo           297280           297355
P215plus             positivo           297995           298070
P216plus             positivo           303101           303176
P217plus             positivo           303198           303273
P218plus             positivo           303538           303613
P219plus             positivo           308091           308166
P220plus             positivo           311118           311193
P221plus             positivo           311748           311823
P222plus             positivo           312815           312890
P223plus             positivo           312907           312982
P224plus             positivo           313257           313332
P225plus             positivo           313576           313651
P226plus             positivo           313987           314062
P227plus             positivo           315412           315487
P228plus             positivo           316104           316179
P229plus             positivo           319387           319462
P230plus             positivo           320840           320915
P231plus             positivo           326401           326476
P232plus             positivo           326565           326640
P233plus             positivo           326922           326997
P234plus             positivo           327001           327076
P235plus             positivo           328236           328311
P236plus             positivo           334434           334509
P237plus             positivo           334779           334854
P238plus             positivo           335658           335733
P239plus             positivo           335735           335810
P240plus             positivo           335927           336002
P241plus             positivo           336895           336970
P242plus             positivo           339550           339625
P243plus             positivo           339686           339761
P244plus             positivo           339784           339859
P245plus             positivo           339932           340007
P246plus             positivo           340826           340901
P247plus             positivo           341568           341643
P248plus             positivo           348027           348102
P249plus             positivo           350493           350568
P250plus             positivo           351577           351652
P251plus             positivo           351738           351813
P252plus             positivo           352384           352459
P253plus             positivo           352797           352872
P254plus             positivo           352935           353010
P255plus             positivo           353138           353213
P256plus             positivo           354982           355057
P257plus             positivo           355143           355218
P258plus             positivo           356023           356098
P259plus             positivo           358527           358602
P260plus             positivo           359140           359215
P261plus             positivo           359310           359385
P262plus             positivo           360314           360389
P263plus             positivo           361238           361313
P264plus             positivo           362591           362666
P265plus             positivo           367069           367144
P266plus             positivo           367183           367258
P267plus             positivo           368115           368190
P268plus             positivo           371994           372069
P269plus             positivo           373599           373674
P270plus             positivo           373935           374010
P271plus             positivo           374118           374193
P272plus             positivo           374581           374656
P273plus             positivo           375005           375080
P274plus             positivo           375807           375882
P275plus             positivo           376697           376772
P276plus             positivo           378160           378235
P277plus             positivo           378397           378472
P278plus             positivo           378545           378620
P279plus             positivo           378729           378804
P280plus             positivo           382771           382846
P281plus             positivo           383101           383176
P282plus             positivo           383236           383311
P283plus             positivo           385457           385532
P284plus             positivo           385962           386037
P285plus             positivo           386128           386203
P286plus             positivo           386983           387058
P287plus             positivo           387983           388058
P288plus             positivo           389628           389703
P289plus             positivo           390010           390085
P290plus             positivo           391211           391286
P291plus             positivo           391679           391754
P292plus             positivo           393508           393583
P293plus             positivo           395735           395810
P294plus             positivo           395897           395972
P295plus             positivo           402104           402179
P296plus             positivo           405118           405193
P297plus             positivo           406601           406676
P298plus             positivo           407144           407219
P299plus             positivo           407709           407784
P300plus             positivo           412230           412305
P301plus             positivo           412482           412557
P302plus             positivo           415754           415829
P303plus             positivo           416527           416602
P304plus             positivo           418342           418417
P305plus             positivo           419698           419773
P306plus             positivo           421850           421925
P307plus             positivo           422127           422202
P308plus             positivo           422202           422277
P309plus             positivo           424484           424559
P310plus             positivo           425252           425327
P311plus             positivo           425510           425585
P312plus             positivo           426832           426907
P313plus             positivo           427049           427124
P314plus             positivo           427346           427421
P315plus             positivo           427428           427503
P316plus             positivo           430526           430601
P317plus             positivo           431334           431409
P318plus             positivo           433220           433295
P319plus             positivo           438093           438168
P320plus             positivo           438321           438396
P321plus             positivo           438765           438840
P322plus             positivo           439348           439423
P323plus             positivo           439441           439516
P324plus             positivo           440507           440582
P325plus             positivo           440666           440741
P326plus             positivo           440999           441074
P327plus             positivo           441571           441646
P328plus             positivo           441672           441747
P329plus             positivo           443921           443996
P330plus             positivo           444986           445061
P331plus             positivo           445652           445727
P332plus             positivo           448475           448550
P333plus             positivo           448630           448705
P334plus             positivo           449043           449118
P335plus             positivo           449284           449359
P336plus             positivo           449464           449539
P337plus             positivo           449944           450019
P338plus             positivo           450094           450169
P339plus             positivo           452066           452141
P340plus             positivo           452336           452411
P341plus             positivo           454042           454117
P342plus             positivo           455285           455360
P343plus             positivo           455427           455502
P344plus             positivo           455502           455577
P345plus             positivo           456091           456166
P346plus             positivo           458619           458694
P347plus             positivo           459022           459097
P348plus             positivo           461744           461819
P349plus             positivo           462264           462339
P350plus             positivo           464276           464351
P351plus             positivo           464639           464714
P352plus             positivo           468159           468234
P353plus             positivo           469430           469505
P354plus             positivo           469505           469580
P355plus             positivo           469738           469813
P356plus             positivo           470778           470853
P357plus             positivo           470988           471063
P358plus             positivo           471841           471916
P359plus             positivo           471957           472032
P360plus             positivo           472362           472437
P361plus             positivo           473607           473682
P362plus             positivo           475572           475647
P363plus             positivo           478425           478500
P364plus             positivo           478695           478770
P365plus             positivo           480997           481072
P366plus             positivo           482282           482357
P367plus             positivo           482378           482453
P368plus             positivo           483353           483428
P369plus             positivo           485072           485147
P370plus             positivo           486360           486435
P371plus             positivo           487844           487919
P372plus             positivo           488363           488438
P373plus             positivo           488751           488826
P374plus             positivo           489044           489119
P375plus             positivo           489688           489763
P376plus             positivo           491394           491469
P377plus             positivo           492497           492572
P378plus             positivo           493530           493605
P379plus             positivo           495698           495773
P380plus             positivo           497783           497858
P381plus             positivo           500915           500990
P382plus             positivo           503267           503342
P383plus             positivo           505112           505187
P384plus             positivo           509223           509298
P385plus             positivo           509498           509573
P386plus             positivo           513963           514038
P387plus             positivo           514651           514726
P388plus             positivo           514856           514931
P389plus             positivo           520001           520076
P390plus             positivo           521161           521236
P391plus             positivo           522936           523011
P392plus             positivo           523510           523585
P393plus             positivo           524944           525019
P394plus             positivo           526088           526163
P395plus             positivo           529164           529239
P396plus             positivo           531768           531843
P397plus             positivo           533536           533611
P398plus             positivo           533766           533841
P399plus             positivo           536752           536827
P400plus             positivo           538379           538454
P401plus             positivo           543671           543746
P402plus             positivo           545132           545207
P403plus             positivo           545728           545803
P404plus             positivo           547715           547790
P405plus             positivo           548923           548998
P406plus             positivo           549454           549529
P407plus             positivo           549534           549609
P408plus             positivo           550120           550195
P409plus             positivo           551323           551398
P410plus             positivo           551501           551576
P411plus             positivo           552214           552289
P412plus             positivo           553066           553141
P413plus             positivo           555164           555239
P414plus             positivo           556034           556109
P415plus             positivo           556917           556992
P416plus             positivo           557819           557894
P417plus             positivo           558027           558102
P418plus             positivo           558134           558209
P419plus             positivo           558404           558479
P420plus             positivo           558841           558916
P421plus             positivo           563444           563519
P422plus             positivo           565424           565499
P423plus             positivo           565805           565880
P424plus             positivo           566675           566750
P425plus             positivo           566750           566825
P426plus             positivo           567056           567131
P427plus             positivo           568290           568365
P428plus             positivo           568873           568948
P429plus             positivo           570641           570716
P430plus             positivo           573548           573623
P431plus             positivo           573697           573772
P432plus             positivo           573907           573982
P433plus             positivo           574350           574425
P434plus             positivo           575773           575848
P435plus             positivo           576978           577053
P436plus             positivo           577104           577179
P437plus             positivo           577783           577858
P438plus             positivo           577860           577935
P439plus             positivo           579194           579269
P440plus             positivo           581365           581440
P441plus             positivo           581794           581869
P442plus             positivo           584539           584614
P443plus             positivo           584674           584749
P444plus             positivo           584780           584855
P445plus             positivo           588174           588249
P446plus             positivo           593019           593094
P447plus             positivo           593094           593169
P448plus             positivo           593619           593694
P449plus             positivo           594125           594200
P450plus             positivo           594200           594275
P451plus             positivo           596759           596834
P452plus             positivo           597031           597106
P453plus             positivo           598990           599065
P454plus             positivo           599888           599963
P455plus             positivo           600029           600104
P456plus             positivo           600872           600947
P457plus             positivo           601936           602011
P458plus             positivo           605041           605116
P459plus             positivo           605127           605202
P460plus             positivo           605203           605278
P461plus             positivo           605647           605722
P462plus             positivo           607073           607148
P463plus             positivo           607310           607385
P464plus             positivo           607750           607825
P465plus             positivo           608146           608221
P466plus             positivo           608958           609033
P467plus             positivo           613226           613301
P468plus             positivo           613770           613845
P469plus             positivo           614672           614747
P470plus             positivo           615190           615265
P471plus             positivo           615704           615779
P472plus             positivo           616550           616625
P473plus             positivo           616770           616845
P474plus             positivo           617149           617224
P475plus             positivo           619749           619824
P476plus             positivo           624002           624077
P477plus             positivo           624839           624914
P478plus             positivo           638830           638905
P479plus             positivo           640682           640757
P480plus             positivo           642542           642617
P481plus             positivo           642806           642881
P482plus             positivo           645426           645501
P483plus             positivo           646824           646899
P484plus             positivo           649716           649791
P485plus             positivo           650080           650155
P486plus             positivo           654506           654581
P487plus             positivo           654773           654848
P488plus             positivo           655507           655582
P489plus             positivo           655687           655762
P490plus             positivo           659861           659936
P491plus             positivo           660801           660876
P492plus             positivo           662405           662480
P493plus             positivo           663408           663483
P494plus             positivo           664031           664106
P495plus             positivo           664902           664977
P496plus             positivo           665631           665706
P497plus             positivo           667279           667354
P498plus             positivo           667890           667965
P499plus             positivo           669041           669116
P500plus             positivo           669947           670022
P501plus             positivo           670079           670154
P502plus             positivo           671420           671495
P503plus             positivo           671732           671807
P504plus             positivo           674247           674322
P505plus             positivo           675441           675516
P506plus             positivo           675595           675670
P507plus             positivo           675708           675783
P508plus             positivo           677748           677823
P509plus             positivo           683375           683450
P510plus             positivo           687351           687426
P511plus             positivo           687426           687501
P512plus             positivo           688007           688082
P513plus             positivo           689450           689525
P514plus             positivo           689615           689690
P515plus             positivo           689989           690064
P516plus             positivo           690534           690609
P517plus             positivo           690672           690747
P518plus             positivo           693370           693445
P519plus             positivo           694896           694971
P520plus             positivo           700265           700340
P521plus             positivo           702855           702930
P522plus             positivo           705049           705124
P523plus             positivo           706198           706273
P524plus             positivo           706697           706772
P525plus             positivo           710651           710726
P526plus             positivo           711839           711914
P527plus             positivo           713220           713295
P528plus             positivo           713312           713387
P529plus             positivo           713463           713538
P530plus             positivo           714076           714151
P531plus             positivo           715317           715392
P532plus             positivo           716969           717044
P533plus             positivo           717613           717688
P534plus             positivo           718326           718401
P535plus             positivo           719408           719483
P536plus             positivo           720576           720651
P1minus             negativo           1106           1181
P2minus             negativo           1672           1747
P3minus             negativo           1763           1838
P4minus             negativo           2168           2243
P5minus             negativo           2420           2495
P6minus             negativo           3432           3507
P7minus             negativo           4468           4543
P8minus             negativo           5570           5645
P9minus             negativo           6687           6762
P10minus             negativo           7888           7963
P11minus             negativo           8464           8539
P12minus             negativo           10600           10675
P13minus             negativo           13121           13196
P14minus             negativo           18301           18376
P15minus             negativo           18845           18920
P16minus             negativo           18920           18995
P17minus             negativo           20578           20653
P18minus             negativo           21157           21232
P19minus             negativo           21265           21340
P20minus             negativo           22002           22077
P21minus             negativo           26705           26780
P22minus             negativo           28093           28168
P23minus             negativo           30215           30290
P24minus             negativo           30999           31074
P25minus             negativo           31257           31332
P26minus             negativo           32103           32178
P27minus             negativo           34003           34078
P28minus             negativo           35100           35175
P29minus             negativo           37025           37100
