Region           Strand              Start               End

P1plus             positivo           6132           6207
P2plus             positivo           6650           6725
P3plus             positivo           7764           7839
P4plus             positivo           7839           7914
P5plus             positivo           7916           7991
P6plus             positivo           9754           9829
P7plus             positivo           10544           10619
P8plus             positivo           11398           11473
P9plus             positivo           12115           12190
P10plus             positivo           12757           12832
P11plus             positivo           17428           17503
P12plus             positivo           18289           18364
P13plus             positivo           21519           21594
P14plus             positivo           22547           22622
P15plus             positivo           23619           23694
P16plus             positivo           24299           24374
P17plus             positivo           24959           25034
P18plus             positivo           26590           26665
P19plus             positivo           27827           27902
P20plus             positivo           28449           28524
P21plus             positivo           28608           28683
P22plus             positivo           28687           28762
P23plus             positivo           30098           30173
P24plus             positivo           30998           31073
P25plus             positivo           31252           31327
P26plus             positivo           32250           32325
P27plus             positivo           32945           33020
P28plus             positivo           35089           35164
P29plus             positivo           35215           35290
P30plus             positivo           36822           36897
P31plus             positivo           39025           39100
P32plus             positivo           39127           39202
P33plus             positivo           39828           39903
P34plus             positivo           40323           40398
P35plus             positivo           41643           41718
P36plus             positivo           42089           42164
P37plus             positivo           46984           47059
P38plus             positivo           47615           47690
P39plus             positivo           50600           50675
P40plus             positivo           51293           51368
P41plus             positivo           51433           51508
P42plus             positivo           51947           52022
P43plus             positivo           52342           52417
P44plus             positivo           52474           52549
P45plus             positivo           53302           53377
P46plus             positivo           54004           54079
P47plus             positivo           54569           54644
P48plus             positivo           54720           54795
P49plus             positivo           64215           64290
P50plus             positivo           67022           67097
P51plus             positivo           67097           67172
P52plus             positivo           68908           68983
P53plus             positivo           70610           70685
P54plus             positivo           71174           71249
P55plus             positivo           71622           71697
P56plus             positivo           73298           73373
P57plus             positivo           73901           73976
P58plus             positivo           74355           74430
P59plus             positivo           75538           75613
P60plus             positivo           76669           76744
P61plus             positivo           76759           76834
P62plus             positivo           78869           78944
P63plus             positivo           79457           79532
P64plus             positivo           80451           80526
P65plus             positivo           81020           81095
P66plus             positivo           82642           82717
P67plus             positivo           82881           82956
P68plus             positivo           83120           83195
P69plus             positivo           83236           83311
P70plus             positivo           83311           83386
P71plus             positivo           84476           84551
P72plus             positivo           84713           84788
P73plus             positivo           88810           88885
P74plus             positivo           88993           89068
P75plus             positivo           89980           90055
P76plus             positivo           92081           92156
P77plus             positivo           94374           94449
P78plus             positivo           94626           94701
P79plus             positivo           94779           94854
P80plus             positivo           101766           101841
P81plus             positivo           102032           102107
P82plus             positivo           103298           103373
P83plus             positivo           106711           106786
P84plus             positivo           106830           106905
P85plus             positivo           108415           108490
P86plus             positivo           109578           109653
P87plus             positivo           113302           113377
P88plus             positivo           114132           114207
P89plus             positivo           117558           117633
P90plus             positivo           118430           118505
P91plus             positivo           120972           121047
P92plus             positivo           121366           121441
P93plus             positivo           121601           121676
P94plus             positivo           122472           122547
P95plus             positivo           122975           123050
P96plus             positivo           123454           123529
P97plus             positivo           124891           124966
P98plus             positivo           128095           128170
P99plus             positivo           129219           129294
P100plus             positivo           130009           130084
P101plus             positivo           130830           130905
P102plus             positivo           131074           131149
P103plus             positivo           132423           132498
P104plus             positivo           132498           132573
P105plus             positivo           132932           133007
P106plus             positivo           133034           133109
P107plus             positivo           133116           133191
P108plus             positivo           134258           134333
P109plus             positivo           134337           134412
P110plus             positivo           136479           136554
P111plus             positivo           138422           138497
P112plus             positivo           138571           138646
P113plus             positivo           139451           139526
P114plus             positivo           141753           141828
P115plus             positivo           144746           144821
P116plus             positivo           144821           144896
P117plus             positivo           145440           145515
P118plus             positivo           145667           145742
P119plus             positivo           146035           146110
P120plus             positivo           150169           150244
P121plus             positivo           150879           150954
P122plus             positivo           154303           154378
P123plus             positivo           154413           154488
P124plus             positivo           154523           154598
P125plus             positivo           155642           155717
P126plus             positivo           157092           157167
P127plus             positivo           157656           157731
P128plus             positivo           161240           161315
P129plus             positivo           161981           162056
P130plus             positivo           162068           162143
P131plus             positivo           162212           162287
P132plus             positivo           163298           163373
P133plus             positivo           164446           164521
P134plus             positivo           164718           164793
P135plus             positivo           165156           165231
P136plus             positivo           165371           165446
P137plus             positivo           165525           165600
P138plus             positivo           168466           168541
P139plus             positivo           170648           170723
P140plus             positivo           170802           170877
P141plus             positivo           170879           170954
P142plus             positivo           172435           172510
P143plus             positivo           172873           172948
P144plus             positivo           173796           173871
P145plus             positivo           174177           174252
P146plus             positivo           174583           174658
P147plus             positivo           176758           176833
P148plus             positivo           178572           178647
P149plus             positivo           178695           178770
P150plus             positivo           179871           179946
P151plus             positivo           182192           182267
P152plus             positivo           182491           182566
P153plus             positivo           184238           184313
P154plus             positivo           185108           185183
P155plus             positivo           186728           186803
P156plus             positivo           187227           187302
P157plus             positivo           188039           188114
P158plus             positivo           190731           190806
P159plus             positivo           190819           190894
P160plus             positivo           191343           191418
P161plus             positivo           195147           195222
P162plus             positivo           195390           195465
P163plus             positivo           197678           197753
P164plus             positivo           199852           199927
P165plus             positivo           200034           200109
P166plus             positivo           202443           202518
P167plus             positivo           202611           202686
P168plus             positivo           204468           204543
P169plus             positivo           208049           208124
P170plus             positivo           212523           212598
P171plus             positivo           213958           214033
P172plus             positivo           214507           214582
P173plus             positivo           214717           214792
P174plus             positivo           219349           219424
P175plus             positivo           220225           220300
P176plus             positivo           221411           221486
P177plus             positivo           223446           223521
P178plus             positivo           225233           225308
P179plus             positivo           230038           230113
P180plus             positivo           230265           230340
P181plus             positivo           230550           230625
P182plus             positivo           230710           230785
P183plus             positivo           232379           232454
P184plus             positivo           237415           237490
P185plus             positivo           238373           238448
P186plus             positivo           238780           238855
P187plus             positivo           239635           239710
P188plus             positivo           242084           242159
P189plus             positivo           243722           243797
P190plus             positivo           247905           247980
P191plus             positivo           248320           248395
P192plus             positivo           251084           251159
P193plus             positivo           253191           253266
P194plus             positivo           256325           256400
P195plus             positivo           257491           257566
P196plus             positivo           259104           259179
P197plus             positivo           260558           260633
P198plus             positivo           260922           260997
P199plus             positivo           261461           261536
P200plus             positivo           262501           262576
P201plus             positivo           262899           262974
P202plus             positivo           264195           264270
P203plus             positivo           264632           264707
P204plus             positivo           265927           266002
P205plus             positivo           266386           266461
P206plus             positivo           267834           267909
P207plus             positivo           269326           269401
P208plus             positivo           270103           270178
P209plus             positivo           271749           271824
P210plus             positivo           273936           274011
P211plus             positivo           274279           274354
P212plus             positivo           274763           274838
P213plus             positivo           274838           274913
P214plus             positivo           275296           275371
P215plus             positivo           275794           275869
P216plus             positivo           276531           276606
P217plus             positivo           276962           277037
P218plus             positivo           277111           277186
P219plus             positivo           277913           277988
P220plus             positivo           278144           278219
P221plus             positivo           279126           279201
P222plus             positivo           279424           279499
P223plus             positivo           279499           279574
P224plus             positivo           279584           279659
P225plus             positivo           280800           280875
